"id";"skill";"skill_type"
3300.0;"Analyzing";"soft"
3303.0;"Analyzing";"soft"
3307.0;"Analyzing";"soft"
3320.0;"Analyzing";"soft"
3324.0;"Analyzing";"soft"
3325.0;"Analyzing";"soft"
3328.0;"Analyzing";"soft"
3335.0;"Analyzing";"soft"
3352.0;"Analyzing";"soft"
3360.0;"Analyzing";"soft"
3362.0;"Analyzing";"soft"
3364.0;"Analyzing";"soft"
3366.0;"Analyzing";"soft"
3367.0;"Analyzing";"soft"
3370.0;"Analyzing";"soft"
3380.0;"Analyzing";"soft"
3389.0;"Analyzing";"soft"
3390.0;"Analyzing";"soft"
3393.0;"Analyzing";"soft"
3395.0;"Analyzing";"soft"
3401.0;"Analyzing";"soft"
3405.0;"Analyzing";"soft"
3406.0;"Analyzing";"soft"
3413.0;"Analyzing";"soft"
3422.0;"Analyzing";"soft"
3438.0;"Analyzing";"soft"
3444.0;"Analyzing";"soft"
3466.0;"Analyzing";"soft"
3475.0;"Analyzing";"soft"
3480.0;"Analyzing";"soft"
3494.0;"Analyzing";"soft"
3498.0;"Analyzing";"soft"
3501.0;"Analyzing";"soft"
3503.0;"Analyzing";"soft"
3506.0;"Analyzing";"soft"
3513.0;"Analyzing";"soft"
3530.0;"Analyzing";"soft"
3532.0;"Analyzing";"soft"
3533.0;"Analyzing";"soft"
3537.0;"Analyzing";"soft"
3549.0;"Analyzing";"soft"
3561.0;"Analyzing";"soft"
3575.0;"Analyzing";"soft"
3582.0;"Analyzing";"soft"
3597.0;"Analyzing";"soft"
3601.0;"Analyzing";"soft"
3602.0;"Analyzing";"soft"
3612.0;"Analyzing";"soft"
3615.0;"Analyzing";"soft"
3617.0;"Analyzing";"soft"
3622.0;"Analyzing";"soft"
3634.0;"Analyzing";"soft"
3637.0;"Analyzing";"soft"
3645.0;"Analyzing";"soft"
3646.0;"Analyzing";"soft"
3649.0;"Analyzing";"soft"
3658.0;"Analyzing";"soft"
3660.0;"Analyzing";"soft"
3663.0;"Analyzing";"soft"
3670.0;"Analyzing";"soft"
3680.0;"Analyzing";"soft"
3681.0;"Analyzing";"soft"
3689.0;"Analyzing";"soft"
3692.0;"Analyzing";"soft"
3694.0;"Analyzing";"soft"
3695.0;"Analyzing";"soft"
3703.0;"Analyzing";"soft"
3710.0;"Analyzing";"soft"
3716.0;"Analyzing";"soft"
3727.0;"Analyzing";"soft"
3732.0;"Analyzing";"soft"
3733.0;"Analyzing";"soft"
3744.0;"Analyzing";"soft"
3747.0;"Analyzing";"soft"
3749.0;"Analyzing";"soft"
3751.0;"Analyzing";"soft"
3753.0;"Analyzing";"soft"
3754.0;"Analyzing";"soft"
3760.0;"Analyzing";"soft"
3762.0;"Analyzing";"soft"
3763.0;"Analyzing";"soft"
3769.0;"Analyzing";"soft"
3773.0;"Analyzing";"soft"
3776.0;"Analyzing";"soft"
3781.0;"Analyzing";"soft"
3784.0;"Analyzing";"soft"
3800.0;"Analyzing";"soft"
3803.0;"Analyzing";"soft"
3807.0;"Analyzing";"soft"
3814.0;"Analyzing";"soft"
3816.0;"Analyzing";"soft"
3818.0;"Analyzing";"soft"
3829.0;"Analyzing";"soft"
3830.0;"Analyzing";"soft"
3831.0;"Analyzing";"soft"
3833.0;"Analyzing";"soft"
3836.0;"Analyzing";"soft"
3839.0;"Analyzing";"soft"
3841.0;"Analyzing";"soft"
3844.0;"Analyzing";"soft"
3845.0;"Analyzing";"soft"
3851.0;"Analyzing";"soft"
3852.0;"Analyzing";"soft"
3869.0;"Analyzing";"soft"
3870.0;"Analyzing";"soft"
3876.0;"Analyzing";"soft"
3879.0;"Analyzing";"soft"
3883.0;"Analyzing";"soft"
3886.0;"Analyzing";"soft"
3894.0;"Analyzing";"soft"
3896.0;"Analyzing";"soft"
3902.0;"Analyzing";"soft"
3903.0;"Analyzing";"soft"
3904.0;"Analyzing";"soft"
3905.0;"Analyzing";"soft"
3906.0;"Analyzing";"soft"
3914.0;"Analyzing";"soft"
3916.0;"Analyzing";"soft"
3928.0;"Analyzing";"soft"
3940.0;"Analyzing";"soft"
3945.0;"Analyzing";"soft"
3947.0;"Analyzing";"soft"
3951.0;"Analyzing";"soft"
3968.0;"Analyzing";"soft"
3972.0;"Analyzing";"soft"
3981.0;"Analyzing";"soft"
3983.0;"Analyzing";"soft"
3989.0;"Analyzing";"soft"
3990.0;"Analyzing";"soft"
4000.0;"Analyzing";"soft"
4001.0;"Analyzing";"soft"
4008.0;"Analyzing";"soft"
4018.0;"Analyzing";"soft"
4024.0;"Analyzing";"soft"
4025.0;"Analyzing";"soft"
4029.0;"Analyzing";"soft"
4035.0;"Analyzing";"soft"
4039.0;"Analyzing";"soft"
4043.0;"Analyzing";"soft"
4045.0;"Analyzing";"soft"
4047.0;"Analyzing";"soft"
4055.0;"Analyzing";"soft"
4073.0;"Analyzing";"soft"
4076.0;"Analyzing";"soft"
4091.0;"Analyzing";"soft"
4092.0;"Analyzing";"soft"
4098.0;"Analyzing";"soft"
4100.0;"Analyzing";"soft"
4106.0;"Analyzing";"soft"
4118.0;"Analyzing";"soft"
4127.0;"Analyzing";"soft"
4130.0;"Analyzing";"soft"
4140.0;"Analyzing";"soft"
4141.0;"Analyzing";"soft"
4142.0;"Analyzing";"soft"
4145.0;"Analyzing";"soft"
4154.0;"Analyzing";"soft"
4158.0;"Analyzing";"soft"
4159.0;"Analyzing";"soft"
4162.0;"Analyzing";"soft"
4164.0;"Analyzing";"soft"
4165.0;"Analyzing";"soft"
4166.0;"Analyzing";"soft"
4167.0;"Analyzing";"soft"
4171.0;"Analyzing";"soft"
4172.0;"Analyzing";"soft"
4177.0;"Analyzing";"soft"
4178.0;"Analyzing";"soft"
4187.0;"Analyzing";"soft"
4194.0;"Analyzing";"soft"
4196.0;"Analyzing";"soft"
4197.0;"Analyzing";"soft"
4208.0;"Analyzing";"soft"
4209.0;"Analyzing";"soft"
4211.0;"Analyzing";"soft"
4236.0;"Analyzing";"soft"
4259.0;"Analyzing";"soft"
4260.0;"Analyzing";"soft"
4269.0;"Analyzing";"soft"
4272.0;"Analyzing";"soft"
4284.0;"Analyzing";"soft"
4285.0;"Analyzing";"soft"
4286.0;"Analyzing";"soft"
4290.0;"Analyzing";"soft"
4294.0;"Analyzing";"soft"
4297.0;"Analyzing";"soft"
4318.0;"Analyzing";"soft"
4358.0;"Analyzing";"soft"
4373.0;"Analyzing";"soft"
4388.0;"Analyzing";"soft"
4390.0;"Analyzing";"soft"
4404.0;"Analyzing";"soft"
4407.0;"Analyzing";"soft"
4418.0;"Analyzing";"soft"
4420.0;"Analyzing";"soft"
4421.0;"Analyzing";"soft"
4422.0;"Analyzing";"soft"
4432.0;"Analyzing";"soft"
4436.0;"Analyzing";"soft"
4438.0;"Analyzing";"soft"
4445.0;"Analyzing";"soft"
4446.0;"Analyzing";"soft"
4451.0;"Analyzing";"soft"
4457.0;"Analyzing";"soft"
4467.0;"Analyzing";"soft"
4477.0;"Analyzing";"soft"
4478.0;"Analyzing";"soft"
4491.0;"Analyzing";"soft"
4492.0;"Analyzing";"soft"
4510.0;"Analyzing";"soft"
4516.0;"Analyzing";"soft"
4525.0;"Analyzing";"soft"
4539.0;"Analyzing";"soft"
4554.0;"Analyzing";"soft"
4555.0;"Analyzing";"soft"
4563.0;"Analyzing";"soft"
4599.0;"Analyzing";"soft"
4611.0;"Analyzing";"soft"
4648.0;"Analyzing";"soft"
4656.0;"Analyzing";"soft"
4691.0;"Analyzing";"soft"
4717.0;"Analyzing";"soft"
4733.0;"Analyzing";"soft"
4755.0;"Analyzing";"soft"
4827.0;"Analyzing";"soft"
4836.0;"Analyzing";"soft"
4845.0;"Analyzing";"soft"
4869.0;"Analyzing";"soft"
4900.0;"Analyzing";"soft"
4915.0;"Analyzing";"soft"
4931.0;"Analyzing";"soft"
4933.0;"Analyzing";"soft"
4940.0;"Analyzing";"soft"
4947.0;"Analyzing";"soft"
4948.0;"Analyzing";"soft"
4968.0;"Analyzing";"soft"
4970.0;"Analyzing";"soft"
4981.0;"Analyzing";"soft"
4990.0;"Analyzing";"soft"
4999.0;"Analyzing";"soft"
5003.0;"Analyzing";"soft"
5007.0;"Analyzing";"soft"
5009.0;"Analyzing";"soft"
5012.0;"Analyzing";"soft"
5017.0;"Analyzing";"soft"
5019.0;"Analyzing";"soft"
5026.0;"Analyzing";"soft"
5030.0;"Analyzing";"soft"
5032.0;"Analyzing";"soft"
5046.0;"Analyzing";"soft"
5050.0;"Analyzing";"soft"
5054.0;"Analyzing";"soft"
5064.0;"Analyzing";"soft"
5074.0;"Analyzing";"soft"
5088.0;"Analyzing";"soft"
5126.0;"Analyzing";"soft"
5127.0;"Analyzing";"soft"
5149.0;"Analyzing";"soft"
5160.0;"Analyzing";"soft"
5165.0;"Analyzing";"soft"
5173.0;"Analyzing";"soft"
5187.0;"Analyzing";"soft"
5188.0;"Analyzing";"soft"
5246.0;"Analyzing";"soft"
5274.0;"Analyzing";"soft"
5309.0;"Analyzing";"soft"
5323.0;"Analyzing";"soft"
5324.0;"Analyzing";"soft"
5331.0;"Analyzing";"soft"
5360.0;"Analyzing";"soft"
5362.0;"Analyzing";"soft"
5370.0;"Analyzing";"soft"
5375.0;"Analyzing";"soft"
5379.0;"Analyzing";"soft"
5384.0;"Analyzing";"soft"
5385.0;"Analyzing";"soft"
5386.0;"Analyzing";"soft"
5389.0;"Analyzing";"soft"
5391.0;"Analyzing";"soft"
5392.0;"Analyzing";"soft"
5394.0;"Analyzing";"soft"
5397.0;"Analyzing";"soft"
5398.0;"Analyzing";"soft"
5401.0;"Analyzing";"soft"
5402.0;"Analyzing";"soft"
5413.0;"Analyzing";"soft"
5417.0;"Analyzing";"soft"
5425.0;"Analyzing";"soft"
5456.0;"Analyzing";"soft"
5457.0;"Analyzing";"soft"
5459.0;"Analyzing";"soft"
5462.0;"Analyzing";"soft"
5480.0;"Analyzing";"soft"
5482.0;"Analyzing";"soft"
5489.0;"Analyzing";"soft"
5521.0;"Analyzing";"soft"
5568.0;"Analyzing";"soft"
5613.0;"Analyzing";"soft"
5615.0;"Analyzing";"soft"
